location_set_version_id,location_set_id,location_id,ihme_loc_id,location_name,level,parent_id,path_to_top_parent,region_id,region_name,super_region_id,super_region_name,sort_order,location_ascii_name,location_name_short,location_type_id,location_type,is_estimate,most_detailed,lancet_label,local_id,developed,start_date,end_date,date_inserted,last_updated
714,35,61,MDA,Republic of Moldova,3,56,"1,31,56,61",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",48,Republic of Moldova,Republic of Moldova,2,admin0,1,1,Moldova,MDA,1,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,62,RUS,Russian Federation,3,56,"1,31,56,62",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",49,Russian Federation,Russian Federation,2,admin0,0,0,Russia,RUS,1,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44971,RUS_44971,Altai kray,4,62,"1,31,56,62,44971",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",50,Altai kray,Altai,4,admin2,1,1,Altay krai,1101,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44983,RUS_44983,Amur oblast,4,62,"1,31,56,62,44983",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",51,Amur oblast,Amur,4,admin2,1,1,Amur oblast,1110,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44924,RUS_44924,Arkhangelsk oblast without Nenets autonomous district,4,62,"1,31,56,62,44924",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",52,Arkhangelsk oblast without Nenets autonomous district,Arkhangelsk w/o nenets,4,admin2,1,1,Arkhangelsk oblast without Nenets autonomous district,1111,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44936,RUS_44936,Astrakhan oblast,4,62,"1,31,56,62,44936",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",53,Astrakhan oblast,Astrakhan,4,admin2,1,1,Astrakhan oblast,1112,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44903,RUS_44903,Belgorod oblast,4,62,"1,31,56,62,44903",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",54,Belgorod oblast,Belgorod,4,admin2,1,1,Belgorod oblast,1114,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44904,RUS_44904,Bryansk oblast,4,62,"1,31,56,62,44904",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",55,Bryansk oblast,Bryansk,4,admin2,1,1,Bryansk oblast,1115,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44945,RUS_44945,Chechen Republic,4,62,"1,31,56,62,44945",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",56,Chechen Republic,Chechen,4,admin2,1,1,Chechen Republic,1196,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
714,35,44966,RUS_44966,Chelyabinsk oblast,4,62,"1,31,56,62,44966",56,Eastern Europe,31,"Central Europe, Eastern Europe, and Central Asia",57,Chelyabinsk oblast,Chelyabinsk,4,admin2,1,1,Chelyabinsk oblast,1175,NA,03/06/2020 17:03,NA,03/06/2020 17:03,03/06/2020 17:03
